Team,WP,OWP,DOWP,OOWP,DOOWP,Division,Sectional,Seed,Year
New Auburn,0.85714,0.40634,0.42951,0.49888,0.48927,5,1B,4,2023
New Berlin Eisenhower,0.6087,0.54436,0.54667,0.57089,0.56928,2,4B,4,2023
New Berlin West,0.66667,0.57867,0.55769,0.54763,0.54416,2,4B,3,2023
New Glarus,1.0,0.57471,0.54987,0.54457,0.5399,4,3B,1,2023
New Holstein,0.5,0.57179,0.57065,0.51016,0.50999,4,4A,10,2023
New Lisbon,0.26087,0.49573,0.49573,0.4726,0.4726,5,3A,14,2023
New London,0.9,0.43299,0.38509,0.51516,0.51642,2,1B,1,2023
New Richmond,0.5,0.52484,0.53177,0.53735,0.54033,2,1A,2,2023
Newman Catholic,0.5,0.52261,0.52632,0.52169,0.53179,5,2A,7,2023
Niagara,0.77273,0.47541,0.50177,0.52488,0.53356,5,2B,4,2023
Nicolet,0.14286,0.47812,0.44781,0.5028,0.49925,2,2B,8,2023
North Crawford,0.2381,0.39306,0.3642,0.46203,0.46038,5,3B,11,2023
North Fond du Lac,0.38095,0.4712,0.475,0.51144,0.51143,3,2B,9,2023
Northland Lutheran,0.5,0.41547,0.39144,0.4714,0.46541,5,2A,11,2023
Northland Pines,0.10526,0.56308,0.53465,0.50113,0.50289,3,2A,8,2023
Northwestern,0.73913,0.49051,0.49051,0.5028,0.5029,3,1A,5,2023
Northwood,0.25,0.48966,0.47584,0.49346,0.49448,5,1A,12,2023
Notre Dame,0.95455,0.58413,0.56667,0.54452,0.55057,2,2A,1,2023
Oak Creek,0.68182,0.60599,0.61345,0.5516,0.55268,1,4A,3,2023
Oakfield,0.77273,0.50802,0.4864,0.49848,0.50339,5,4B,2,2023
Oconomowoc,0.36364,0.52713,0.52316,0.53548,0.53646,1,3A,10,2023
Oconto,0.72727,0.48767,0.47384,0.50827,0.50613,4,2B,5,2023
Oconto Falls,0.27273,0.56135,0.54276,0.49797,0.49124,3,2A,7,2023
Omro,0.57143,0.4626,0.4626,0.53829,0.54074,3,3B,6,2023
